CODE,NAME,R,G,B,HTML,BRAND,NOTES
sp3,Pearl Tangerine,???,???,???,???,ARTKAL,Pearl
sp4 ,Pearl Pink,???,???,???,???,ARTKAL,Pearl
sp5,Pearl Red,???,???,???,???,ARTKAL,Pearl
sp6,Pearl Blue,???,???,???,???,ARTKAL,Pearl
sp7,Pearl Purple,???,???,???,???,ARTKAL,Pearl
sp8,Pearl Clear,???,???,???,???,ARTKAL,Pearl
,,,,,,,
P??,Red Glitter,???,???,???,???,PERLER,Glitter
P??,Blue Glitter,???,???,???,???,PERLER,Glitter
P??,Purple Glitter,???,???,???,???,PERLER,Glitter
P??,Yellow Glitter,???,???,???,???,PERLER,Glitter
P??,Green Glitter,???,???,???,???,PERLER,Glitter
P??,Clear Glitter,???,???,???,???,PERLER,Glitter
P??,Black Glitter,???,???,???,???,PERLER,Glitter
P??,White Glitter,???,???,???,???,PERLER,Glitter
P??,Pink Glitter,???,???,???,???,PERLER,Glitter
P??,Fairy Dust,169,213,162,A9D5A2,PERLER,Glitter
P??,Kiwi Glitter,???,???,???,???,PERLER,Glitter
sL1,glitter blue,???,???,???,???,ARTKAL,Glitter
sL5,glitter purple,???,???,???,???,ARTKAL,Glitter
,,,,,,,
P??,Clear,???,???,???,???,PERLER,transluscent 
st6,transparent purple,???,???,???,???,ARTKAL,transluscent 
,,,,,,,
P75,Glow Green,190,198,150,#bec696,PERLER,glow-in-the-dark
P??,Glow Blue,???,???,???,???,PERLER,glow-in-the-dark
P??,Glow Pink,???,???,???,???,PERLER,glow-in-the-dark
P??,Glow Purple,???,???,???,???,PERLER,glow-in-the-dark
P??,Glow Orange,???,???,???,???,PERLER,glow-in-the-dark
,,,,,,,
P??,Blueberry Crème,152,161,209,98A1D1,PERLER,1
P??,Periwinkle,101,115,168,6573A8,PERLER,1
